date,time,group,subject,session,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency
2022-06-23,10:46:30,865687204,548957868,1,6.6.0,1,2,demographics,age,0,0,0,0,23,1,1372
2022-06-23,10:46:30,865687204,548957868,1,6.6.0,1,3,demographics,gender,0,0,0,0,23,1,619
2022-06-23,11:54:55,631118150,504546409,1,6.6.0,1,2,demographics,age,0,0,0,0,old,1,3946
2022-06-23,11:54:55,631118150,504546409,1,6.6.0,1,3,demographics,gender,0,0,0,0,yes,1,3724
2022-06-23,12:23:32,569179372,994692692,1,6.6.0,1,2,demographics,age,0,0,0,0,21,1,2576
2022-06-23,12:23:32,569179372,994692692,1,6.6.0,1,3,demographics,gender,0,0,0,0,female,1,3050
2022-06-23,12:27:58,318655233,246532124,1,6.6.0,1,2,demographics,age,0,0,0,0,23,1,4311
2022-06-23,12:27:58,318655233,246532124,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,2793
2022-06-23,12:32:30,318655233,246532124,1,6.6.0,1,2,demographics,age,0,0,0,0,23,1,6887
2022-06-23,12:32:30,318655233,246532124,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,1947
2022-06-23,12:33:36,432010222,902223169,1,6.6.0,1,2,demographics,age,0,0,0,0,19,1,1920
2022-06-23,12:33:36,432010222,902223169,1,6.6.0,1,3,demographics,gender,0,0,0,0,female,1,3239
2022-06-23,12:35:04,793661124,469672453,1,6.6.0,1,2,demographics,age,0,0,0,0,27,1,3185
2022-06-23,12:35:04,793661124,469672453,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,3646
2022-06-23,13:35:40,930613463,637089700,1,6.6.0,1,2,demographics,age,0,0,0,0,43,1,3103
2022-06-23,13:35:40,930613463,637089700,1,6.6.0,1,3,demographics,gender,0,0,0,0,male,1,4304
2022-06-23,12:37:12,44150083,4345805,1,6.6.0,1,2,demographics,age,0,0,0,0,54,1,2666
2022-06-23,12:37:12,44150083,4345805,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,4482
2022-06-23,13:37:07,433892565,786441188,1,6.6.0,1,2,demographics,age,0,0,0,0,27,1,4717
2022-06-23,13:37:07,433892565,786441188,1,6.6.0,1,3,demographics,gender,0,0,0,0,FEMALE,1,8759
2022-06-23,12:41:56,750875114,510787584,1,6.6.0,1,2,demographics,age,0,0,0,0,34,1,3744
2022-06-23,12:41:56,750875114,510787584,1,6.6.0,1,3,demographics,gender,0,0,0,0,Female,1,6383
2022-06-23,12:40:13,305030099,684265529,1,6.6.0,1,2,demographics,age,0,0,0,0,19,1,3595
2022-06-23,12:40:13,305030099,684265529,1,6.6.0,1,3,demographics,gender,0,0,0,0,non binary,1,11785
2022-06-23,04:40:06,604663550,47022865,1,6.6.0,1,2,demographics,age,0,0,0,0,21,1,4146
2022-06-23,04:40:06,604663550,47022865,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,5119
2022-06-23,07:39:25,486315965,199802590,1,6.6.0,1,2,demographics,age,0,0,0,0,27,1,2860
2022-06-23,07:39:25,486315965,199802590,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,3332
2022-06-23,12:44:55,942071899,295696078,1,6.6.0,1,2,demographics,age,0,0,0,0,32,1,2221
2022-06-23,12:44:55,942071899,295696078,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,4427
2022-06-23,12:45:45,650977857,32034696,1,6.6.0,1,2,demographics,age,0,0,0,0,38,1,2828
2022-06-23,12:45:45,650977857,32034696,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,4015
2022-06-23,12:47:56,525156452,609227927,1,6.6.0,1,2,demographics,age,0,0,0,0,18,1,5098
2022-06-23,12:47:56,525156452,609227927,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,6671
2022-06-23,12:49:07,501120534,59367911,1,6.6.0,1,2,demographics,age,0,0,0,0,47,1,3563
2022-06-23,12:49:07,501120534,59367911,1,6.6.0,1,3,demographics,gender,0,0,0,0,female,1,5164
2022-06-23,12:50:11,523440644,386661197,1,6.6.0,1,2,demographics,age,0,0,0,0,46,1,3576
2022-06-23,12:50:11,523440644,386661197,1,6.6.0,1,3,demographics,gender,0,0,0,0,Male,1,6100
2022-06-23,12:50:09,375737077,238678139,1,6.6.0,1,2,demographics,age,0,0,0,0,38,1,4403
