date,time,group,subject,session,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency
23.06.22,12:37:34,762566308,893377996,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,1624
23.06.22,12:37:34,762566308,893377996,1,06.06.00,1,2,scale,like,0,0,0,0,Ctrl+'B',1,1866
23.06.22,12:26:48,569179372,994692692,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,14241
23.06.22,12:26:48,569179372,994692692,1,06.06.00,1,2,scale,like,0,0,0,0,2,0,14986
23.06.22,12:26:48,569179372,994692692,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,5821
23.06.22,12:26:48,569179372,994692692,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,6889
23.06.22,12:31:22,318655233,246532124,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,4379
23.06.22,12:31:22,318655233,246532124,1,06.06.00,1,2,scale,like,0,0,0,0,4,0,8269
23.06.22,12:39:06,793661124,469672453,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,14933
23.06.22,12:39:06,793661124,469672453,1,06.06.00,1,2,scale,like,0,0,0,0,2,0,12217
23.06.22,12:39:06,793661124,469672453,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,4470
23.06.22,12:39:06,793661124,469672453,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,1417
23.06.22,12:40:15,432010222,902223169,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,5723
23.06.22,12:40:15,432010222,902223169,1,06.06.00,1,2,scale,like,0,0,0,0,3,0,17582
23.06.22,12:40:15,432010222,902223169,1,06.06.00,1,3,scale,positive,0,0,0,0,3,0,5567
23.06.22,12:40:15,432010222,902223169,1,06.06.00,1,4,scale,prefer,0,0,0,0,2,0,4366
23.06.22,12:40:40,44150083,4345805,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,9776
23.06.22,12:40:40,44150083,4345805,1,06.06.00,1,2,scale,like,0,0,0,0,2,0,11335
23.06.22,12:40:40,44150083,4345805,1,06.06.00,1,3,scale,positive,0,0,0,0,4,0,4042
23.06.22,12:40:40,44150083,4345805,1,06.06.00,1,4,scale,prefer,0,0,0,0,3,0,4588
23.06.22,13:40:41,930613463,637089700,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,28991
23.06.22,13:40:41,930613463,637089700,1,06.06.00,1,2,scale,like,0,0,0,0,2,0,12395
23.06.22,13:40:41,930613463,637089700,1,06.06.00,1,3,scale,positive,0,0,0,0,2,0,8267
23.06.22,13:40:41,930613463,637089700,1,06.06.00,1,4,scale,prefer,0,0,0,0,2,0,5938
23.06.22,13:41:45,433892565,786441188,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,33109
23.06.22,13:41:45,433892565,786441188,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,14341
23.06.22,13:41:45,433892565,786441188,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,4175
23.06.22,13:41:45,433892565,786441188,1,06.06.00,1,4,scale,prefer,0,0,0,0,3,0,7731
23.06.22,12:45:39,750875114,510787584,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,14717
23.06.22,12:45:39,750875114,510787584,1,06.06.00,1,2,scale,like,0,0,0,0,4,0,9710
23.06.22,12:45:39,750875114,510787584,1,06.06.00,1,3,scale,positive,0,0,0,0,4,0,2495
23.06.22,12:45:39,750875114,510787584,1,06.06.00,1,4,scale,prefer,0,0,0,0,4,0,2628
23.06.22,12:44:00,305030099,684265529,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,60905
23.06.22,12:44:00,305030099,684265529,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,11888
23.06.22,12:44:00,305030099,684265529,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,5220
23.06.22,12:44:00,305030099,684265529,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,6514
23.06.22,07:45:16,486315965,199802590,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,16760
23.06.22,07:45:16,486315965,199802590,1,06.06.00,1,2,scale,like,0,0,0,0,6,0,20444
23.06.22,07:45:16,486315965,199802590,1,06.06.00,1,3,scale,positive,0,0,0,0,6,0,1842
23.06.22,07:45:16,486315965,199802590,1,06.06.00,1,4,scale,prefer,0,0,0,0,5,0,1616
23.06.22,04:45:03,604663550,47022865,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,18475
23.06.22,04:45:03,604663550,47022865,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,21998
23.06.22,04:45:03,604663550,47022865,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,1738
23.06.22,04:45:03,604663550,47022865,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,12449
23.06.22,12:48:19,942071899,295696078,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,13018
23.06.22,12:48:19,942071899,295696078,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,11636
23.06.22,12:48:19,942071899,295696078,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,5607
23.06.22,12:48:19,942071899,295696078,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,4671
23.06.22,12:50:22,650977857,32034696,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,15667
23.06.22,12:50:22,650977857,32034696,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,7570
23.06.22,12:50:22,650977857,32034696,1,06.06.00,1,3,scale,positive,0,0,0,0,2,0,5928
23.06.22,12:50:22,650977857,32034696,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,5544
23.06.22,12:50:52,102160010,494447594,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,33397
23.06.22,12:50:52,102160010,494447594,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,13990
23.06.22,12:50:52,102160010,494447594,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,21660
23.06.22,12:50:52,102160010,494447594,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,8010
23.06.22,12:53:51,375737077,238678139,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,14874
23.06.22,12:53:51,375737077,238678139,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,10852
23.06.22,12:53:51,375737077,238678139,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,5549
23.06.22,12:53:51,375737077,238678139,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,5522
23.06.22,12:54:04,501120534,59367911,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,26668
23.06.22,12:54:04,501120534,59367911,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,11453
23.06.22,12:54:04,501120534,59367911,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,3776
23.06.22,12:54:04,501120534,59367911,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,4399
23.06.22,12:55:14,196403917,586346915,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,12417
23.06.22,12:55:14,196403917,586346915,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,8999
23.06.22,12:55:14,196403917,586346915,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,2975
23.06.22,12:55:14,196403917,586346915,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,6333
23.06.22,12:54:55,523440644,386661197,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,23532
23.06.22,12:54:55,523440644,386661197,1,06.06.00,1,2,scale,like,0,0,0,0,2,0,14605
23.06.22,12:54:55,523440644,386661197,1,06.06.00,1,3,scale,positive,0,0,0,0,4,0,13594
23.06.22,12:54:55,523440644,386661197,1,06.06.00,1,4,scale,prefer,0,0,0,0,1,0,6334
23.06.22,12:55:23,137468350,764499289,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,15453
23.06.22,12:55:23,137468350,764499289,1,06.06.00,1,2,scale,like,0,0,0,0,1,0,9302
23.06.22,12:55:23,137468350,764499289,1,06.06.00,1,3,scale,positive,0,0,0,0,2,0,7367
23.06.22,12:55:23,137468350,764499289,1,06.06.00,1,4,scale,prefer,0,0,0,0,2,0,3911
23.06.22,12:57:53,730851020,100125154,1,06.06.00,1,1,scale,instructions,0,0,0,0,57,1,14972
23.06.22,12:57:53,730851020,100125154,1,06.06.00,1,2,scale,like,0,0,0,0,3,0,15372
23.06.22,12:57:53,730851020,100125154,1,06.06.00,1,3,scale,positive,0,0,0,0,1,0,5018
23.06.22,12:57:53,730851020,100125154,1,06.06.00,1,4,scale,prefer,0,0,0,0,3,0,6526
